,node,ks,kdeg,pr,m,ksum,k2sum
150,109740608,56,60,7.000000000000001,36433,23343,26926693
151,116036694,99,604,180.0,36433,47796,41076031
152,179138862,53,63,20.0,36433,18244,28539951
153,276706356,99,583,125.0,36433,52877,41676707
154,236143101,91,213,28.000000000000004,36433,34415,33332594
155,333161611,23,24,10.0,36433,5408,12255696
156,19358562,99,459,156.0,36433,34793,30463053
157,226165839,13,18,20.0,36433,690,1548313
158,33612973,27,59,56.99999999999999,36433,1990,2866578
159,37270037,28,30,10.0,36433,13374,15669003
160,49104918,16,25,9.0,36433,8561,7298671
161,83032174,23,23,7.000000000000001,36433,9744,2970108
162,55033682,53,118,148.0,36433,804,3307243
163,170460311,56,66,51.0,36433,13157,15052795
164,152388029,48,51,13.0,36433,17237,22992309
165,112939321,99,633,90.0,36433,65850,40574898
166,265077741,80,91,17.0,36433,22908,19505434
167,261447035,45,45,54.0,36433,7076,6575839
168,120599128,13,18,20.0,36433,1134,3323994
169,186212304,30,100,36.0,36433,11229,16926252
170,57828817,15,20,19.0,36433,280,857939
171,250340951,69,73,17.0,36433,16987,18310391
172,59588845,30,35,8.0,36433,15540,18687993
173,2367911,99,474,317.0,36433,35974,60394243
174,74107696,77,82,9.0,36433,27829,23388721
175,477094958,9,12,8.0,36433,354,622528
176,233248636,77,89,16.0,36433,23017,24920667
177,86799233,28,87,39.0,36433,3216,6679391
178,17627996,11,11,108.0,36433,1978,987825
179,30971165,41,47,12.0,36433,17437,22863623
180,271602109,18,31,15.0,36433,5723,7451803
181,81446304,10,10,5.0,36433,7793,5322051
182,282206645,64,72,14.000000000000002,36433,16362,14460694
183,31317273,8,8,10.0,36433,471,2249824
184,204140367,99,334,102.0,36433,42428,30043280
185,189875309,99,299,59.0,36433,29537,26167684
186,170167167,12,13,15.0,36433,119,576798
187,45333725,15,16,8.0,36433,6800,4894465
188,222090651,15,22,16.0,36433,1268,4304413
189,93224416,13,13,7.000000000000001,36433,1182,4113594
190,355823615,49,63,20.0,36433,10680,13889174
191,309782398,7,7,5.0,36433,6213,2076789
192,253091523,15,26,13.0,36433,2147,6724115
193,349413327,19,19,5.0,36433,11419,13839622
194,375317198,67,71,11.0,36433,22490,20870190
195,31246395,14,14,5.0,36433,10009,7758506
196,200884513,9,9,7.000000000000001,36433,1197,5278060
197,312284236,25,26,6.0,36433,13115,16526698
198,260705759,13,16,13.0,36433,416,1766218
199,43640117,21,23,9.0,36433,10110,12558085
200,236026868,39,40,7.000000000000001,36433,16325,19555971
201,95260836,78,134,66.0,36433,4296,4850567
202,63941463,14,14,7.000000000000001,36433,9408,9290298
203,83155222,15,17,14.000000000000002,36433,776,3779478
204,451493376,7,7,7.000000000000001,36433,184,80824
205,73738774,19,30,15.0,36433,3425,6323670
206,100052945,10,10,10.0,36433,448,1050562
207,21272026,15,19,18.0,36433,1080,3722864
208,33806113,7,7,6.0,36433,688,1394970
209,9695312,11,12,19.0,36433,2012,3521128
210,272173354,8,8,8.0,36433,106,102232
211,41472982,13,18,10.0,36433,955,3464822
212,287915525,9,11,7.000000000000001,36433,2019,1153490
213,105259389,8,8,7.000000000000001,36433,176,820293
214,31457243,11,12,14.000000000000002,36433,486,2946185
215,102765423,9,9,14.000000000000002,36433,363,407553
216,273149543,34,34,16.0,1,0,0
217,53222305,21,21,9.0,36433,3018,1864511
218,215787132,7,7,6.0,36433,3540,1767872
219,375228586,3,3,5.0,36433,453,3606942
220,72680406,19,31,27.0,36433,572,51264
221,11259362,19,44,26.0,36433,1979,2181853
222,16216637,19,29,13.0,36433,749,935253
223,767809,8,8,13.0,36433,107,37728
224,30690708,10,10,7.000000000000001,36433,1408,2292817
225,5992502,15,31,36.0,36433,732,422298
226,17859804,19,39,36.0,36433,679,154174
227,83876527,19,55,53.0,36433,913,877763
228,19681661,19,33,26.0,36433,651,50994
229,15465769,19,20,20.0,36433,465,152314
230,22689667,19,32,39.0,36433,508,85010
231,195409031,15,21,29.0,36433,243,10190
232,57261575,15,20,30.0,36433,143,7477
233,4126501,15,29,17.0,36433,893,1111157
234,22558481,10,10,7.000000000000001,36433,555,417071
235,18109441,19,37,24.0,36433,1849,2157727
236,60607157,4,4,7.000000000000001,36433,17,1604
237,25615305,19,38,26.0,36433,1080,1102878
238,16877939,15,21,29.0,36433,1184,1776841
239,21734241,15,21,27.0,36433,551,416582
240,46073276,16,51,39.0,36433,1245,1541228
241,166002579,2,2,6.0,1,0,0
242,6463042,15,33,30.0,36433,1407,1780966
243,96770886,15,21,21.0,36433,235,11386
244,7712232,14,14,18.0,36433,341,81283
245,99211591,15,25,27.0,36433,1410,1821412
246,23930272,15,18,22.0,36433,351,100628
247,37977732,24,66,74.0,36433,1517,2514104
248,16858804,14,14,23.0,36433,248,170646
249,44436825,19,40,32.0,36433,1922,2279932
250,28359405,15,19,26.0,36433,179,12272
251,9973842,19,75,84.0,36433,1755,1904328
252,451331227,15,17,16.0,36433,358,43288
253,55113,19,29,26.0,36433,672,241583
254,124746917,15,22,30.0,36433,586,416474
255,41048052,13,15,11.0,36433,547,415653
256,14677919,61,343,399.0,36433,11654,23748726
257,203827751,15,34,34.0,36433,1697,2792260
258,10075442,19,32,39.0,36433,546,185138
259,17342842,16,37,30.0,36433,1581,2501443
260,17477343,9,11,10.0,36433,495,518017
261,56318573,15,21,22.0,36433,577,418151
262,111615736,15,17,25.0,36433,1349,2712337
263,83529586,5,5,11.0,1,0,0
264,9503302,15,21,32.0,36433,245,125456
265,5533902,15,17,24.0,36433,321,205241
266,14551276,21,65,66.0,36433,2515,3742349
267,17870886,19,44,38.0,36433,2049,2322587
268,98976495,15,18,22.0,36433,1206,4289260
269,22200888,19,48,38.0,36433,1623,1807924
270,88974843,8,8,11.0,36433,450,1043906
271,16967011,10,11,10.0,36433,1008,1713101
272,171145913,15,18,7.000000000000001,36433,1834,2367102
273,163937752,19,45,20.0,36433,1945,1435753
274,21742517,15,21,27.0,36433,378,98112
275,113415132,11,12,17.0,36433,102,4832
276,79797834,57,843,953.0,36433,13605,19813704
277,18758940,15,16,20.0,36433,142,7301
278,138549366,16,23,24.0,36433,362,44309
279,19230869,8,8,7.000000000000001,36433,148,6914
280,84111527,10,10,7.000000000000001,36433,242,11582
281,50944856,15,24,33.0,36433,226,10290
282,117998529,15,24,12.0,36433,1269,1757082
283,23150071,15,21,15.0,36433,1531,2096698
284,14169740,19,38,32.0,36433,1845,2119599
285,38718720,15,19,23.0,36433,1057,1751794
286,93906304,36,90,54.0,36433,5710,6640388
287,6127252,11,11,15.0,36433,996,1727050
288,20757640,19,34,31.0,36433,690,492254
289,17902348,19,32,20.0,36433,668,315559
290,59557446,49,107,61.0,36433,6768,7828934
291,27703441,11,11,13.0,36433,228,80142
292,23484510,51,103,40.0,36433,11452,21540364
293,792998,11,11,15.0,36433,211,42193
294,18344173,5,5,5.0,36433,114,134942
295,20583098,16,18,20.0,36433,364,115390
296,55019225,6,6,11.0,1,0,0
297,2705,11,17,30.0,36433,160,127394
298,557196973,3,3,10.0,1,0,0
299,23483324,49,98,57.99999999999999,36433,5845,8454458
300,21074641,15,19,10.0,36433,705,420214
301,52073562,6,6,10.0,36433,69,6572
302,30486243,15,20,22.0,36433,184,10369
303,174118650,7,7,10.0,36433,461,416642
304,25835874,3,4,7.000000000000001,36433,38,4472
305,17293897,52,194,266.0,36433,3440,7342876
306,349256925,4,4,6.0,36433,505,1050005
307,258681133,1,1,5.0,1,0,0
308,454423088,1,1,7.000000000000001,1,0,0
309,22879382,36,80,47.0,36433,4206,7707638
310,155613846,5,5,9.0,36433,343,407720
311,35476618,1,1,7.000000000000001,1,0,0
312,137355085,1,1,5.0,1,0,0
313,30204310,3,3,12.0,36433,1186,2083480
314,291476217,2,2,7.000000000000001,1,0,0
315,236575672,26,26,27.0,36433,3037,5379135
316,82030021,69,424,270.0,36433,12265,17135582
317,17037417,67,214,123.0,36433,15716,30885818
318,28149277,66,292,216.0,1,0,0
319,111164068,69,467,188.0,36433,32508,36106852
320,29514951,69,390,272.0,36433,11963,18560597
321,94918917,66,257,175.0,36433,6065,8393134
322,131601987,69,452,224.00000000000003,36433,35166,44424368
323,159629146,59,106,43.0,36433,11500,15178883
324,90722891,41,70,56.99999999999999,36433,3600,5852081
325,90779436,69,336,167.0,36433,20423,18411236
326,22784458,70,777,353.0,36433,53842,57659474
327,191620115,59,108,72.0,36433,9677,13223100
328,15999863,43,52,43.0,36433,4111,8996294
329,146556805,55,70,46.0,36433,4225,6767765
330,118811608,41,54,45.0,36433,4213,8341104
331,95980722,69,228,122.0,36433,15741,21186947
332,104155395,18,18,14.000000000000002,36433,3577,5887648
333,51477206,29,44,32.0,36433,7282,15858354
334,101903164,44,55,56.99999999999999,36433,2037,5102172
335,14683518,59,111,56.99999999999999,36433,10251,15288130
336,34805698,59,129,100.0,36433,1383,2565954
337,176872879,50,86,71.0,36433,3104,12942351
338,28144741,56,99,67.0,36433,9044,11523648
339,37876253,47,60,45.0,36433,3924,8791836
340,293353298,62,223,85.0,36433,27831,36753556
341,239257866,45,49,30.0,36433,7245,10849506
342,14876672,59,353,204.0,36433,19745,34840467
343,486930916,44,49,34.0,36433,2680,6449724
344,101859065,69,312,202.0,36433,4748,6926730
345,263907906,23,23,11.0,36433,4452,7557987
346,23152989,54,253,128.0,36433,13223,29188664
347,345707398,1,1,5.0,36434,99,535684
348,203623462,20,22,25.0,36433,486,163915
349,61065794,25,61,25.0,36433,1483,578323
350,301695120,25,42,22.0,36433,1119,418252
351,102364313,25,33,13.0,36433,1088,356212
352,211670208,25,68,28.000000000000004,36433,1368,166001
353,37008705,25,54,73.0,36433,669,599222
354,112819301,25,57,22.0,36433,1512,268059
355,352035443,23,24,10.0,36433,931,224230
356,250849104,25,40,14.000000000000002,36433,1370,641660
357,19153742,7,8,11.0,36433,179,599501
358,161788974,24,29,13.0,36433,956,266478
359,147946019,24,30,13.0,36433,854,553108
360,54581743,17,17,10.0,36433,896,606099
361,235163686,12,12,6.0,36433,639,205372
362,22440364,25,49,87.0,36433,461,221888
363,54611487,25,40,17.0,36433,11537,12738952
364,34507480,25,76,136.0,36433,1695,2953507
365,243836182,24,28,17.0,36433,970,266876
366,164422299,25,45,16.0,36433,1284,618756
367,27772095,25,49,76.0,36433,675,804417
368,22592948,25,47,80.0,36433,463,221888
369,328158079,20,28,9.0,36433,992,752758
370,143838260,25,61,19.0,36433,1658,809220
371,58309829,25,42,39.0,36433,903,1028832
372,135268094,8,16,9.0,36433,909,753808
373,222802532,7,8,6.0,36433,401,513925
374,23375688,36,83,176.0,36433,667,569139
375,25970331,25,137,134.0,36433,6941,4085201
376,19383317,28,72,80.0,36433,1830,2115903
377,230505689,11,11,10.0,36433,289,161518
378,100318079,99,547,164.0,36433,44113,38226563
379,206416476,25,47,25.0,36433,1175,266952
380,15460081,25,60,99.0,36433,391,221470
381,20271494,20,22,39.0,36433,501,262939
382,169504184,25,45,17.0,36433,1291,554839
383,16824090,29,57,70.0,36433,1728,2403716
384,115525090,19,23,9.0,36433,982,575846
385,29654458,15,16,17.0,36433,237,488717
386,26649453,17,20,23.0,36433,393,553677
387,14425825,25,38,74.0,36433,396,160358
388,421412483,25,42,13.0,36433,1258,558458
389,243227325,25,40,17.0,36433,1106,163931
390,240944206,17,18,7.000000000000001,36433,702,163940
391,63808966,25,47,30.0,36433,973,267699
392,16895295,11,14,15.0,1,0,0
393,243273954,24,29,12.0,36433,990,576328
394,226516599,25,47,16.0,36433,1340,226692
395,163274846,7,9,8.0,36433,153,76324
396,111990504,7,8,7.000000000000001,36433,202,388269
397,408060505,23,27,13.0,36433,878,224205
398,309765553,16,28,16.0,36433,816,2035170
399,27090278,10,12,12.0,36433,541,266537
400,225488317,21,21,15.0,36433,743,266081
401,148081553,23,35,17.0,36433,726,402558
402,197090502,23,26,11.0,36433,891,164352
403,69373005,20,20,12.0,36433,730,515995
404,48504743,7,7,9.0,36433,237,452702
405,302936475,17,17,11.0,36433,469,162706
406,480595611,23,26,10.0,36433,1040,266478
407,40968863,20,28,14.000000000000002,36433,794,253147
408,34270956,7,9,10.0,36433,110,15425
409,2883841,29,58,56.99999999999999,36433,1978,9975215
410,325054079,9,11,12.0,36433,226,159159
411,126470482,2,2,6.0,36433,83,69272
412,181288376,25,43,16.0,36433,1218,726504
413,250988604,8,11,44.0,2,2,413
414,171704225,12,12,9.0,36433,444,202591
415,158526208,11,13,11.0,36433,505,723681
416,192023970,22,26,8.0,36433,1116,807962
417,339373057,11,14,20.0,36433,283,73579
418,193593048,18,22,11.0,36433,1726,2314337
419,176222605,2,2,7.000000000000001,1,0,0
420,244719623,9,9,11.0,36433,208,159159
421,335678635,2,2,37.0,2,11,421
422,79817691,8,8,16.0,1,0,0
423,109698612,8,11,8.0,36433,156,1145661
424,208105146,7,7,7.000000000000001,36433,60,10742
425,25592034,4,4,8.0,1,0,0
426,333011515,3,5,17.0,36433,34,3638
427,258490941,7,7,6.0,36433,132,9742
428,342221618,2,2,9.0,36433,5,1013
429,32032000,47,141,46.0,36433,10208,14258493
430,19507713,47,107,41.0,36433,6301,7279656
431,16583672,43,75,84.0,36433,9726,22990753
432,35918787,34,38,24.0,36433,7118,9767946
433,20803125,32,38,13.0,36433,6448,7368779
434,311776211,25,25,11.0,36433,1907,5043898
435,16079941,66,111,44.0,36433,18150,30699735
436,7861312,70,1381,1713.0,36433,21831,37966397
437,7860742,70,944,392.0,36433,81481,105955107
438,9955652,22,24,8.0,36433,1890,2158780
439,462541005,40,54,23.0,36433,4030,2918679
440,20747741,49,130,79.0,36433,14045,34411426
441,17047105,47,148,62.0,36433,14352,20752414
442,23559552,58,136,50.0,36433,12209,31700263
443,20106852,51,194,143.0,36433,7297,15305868
444,51246108,43,48,12.0,36433,7021,11851515
445,20637608,47,145,38.0,36433,14534,17567088
446,434725454,17,17,14.000000000000002,36433,2926,3179450
447,18927441,70,875,614.0,36433,24025,41847786
448,18666844,70,529,225.0,36433,49930,70830670
449,15666380,68,509,722.0,36433,29517,28630471
450,365014160,37,38,11.0,36433,3089,3140430
451,21158690,65,375,315.0,36433,14368,43543361
452,15271920,46,87,55.00000000000001,36433,7806,13365713
453,16786977,50,168,179.0,1,0,0
454,373018050,40,48,20.0,36433,6988,7738312
455,369586333,46,97,46.0,36433,3537,2053137
456,96747353,36,44,14.000000000000002,36433,11036,27776955
457,16799897,51,218,208.0,36433,17796,30812043
458,51162310,43,61,27.0,36433,14429,32862936
459,18130749,41,60,79.0,36433,6422,22008842
460,317846921,32,37,8.0,36433,7020,9942818
461,130897520,47,116,48.0,36433,11577,16954531
462,363426409,47,137,67.0,36433,10105,11583838
463,438460947,40,48,20.0,36433,2558,1693477
464,58714972,57,171,64.0,36433,19282,25550071
465,16663695,5,5,5.0,36434,2983,4496491
466,47799910,25,36,21.0,36433,5852,5124598
467,31808762,66,341,67.0,36433,48528,73542649
468,14888584,67,243,110.0,36433,17467,32034875
469,315338495,47,135,56.99999999999999,36433,9208,9669483
470,352226153,47,91,39.0,36433,8226,11989062
471,300599613,47,96,48.0,36433,5161,6792960
472,16909832,47,111,46.0,36433,15559,27045258
473,167744987,13,13,8.0,36433,2000,4462299
474,362286999,47,80,98.0,36433,8602,12623366
475,126099878,45,59,11.0,36433,11371,16723974
476,422066630,40,58,30.0,36433,2024,1558098
477,191638793,32,39,10.0,36433,4008,4976124
478,16038438,54,294,115.0,36433,25637,45068375
479,390811153,12,12,11.0,36433,543,682467
480,794186,28,29,16.0,36433,4738,17518608
481,394216985,29,32,23.0,36433,6171,9658815
482,17105214,49,148,136.0,36433,9975,20141156
483,126042901,65,169,86.0,36433,12314,20291211
484,7384432,66,157,51.0,36433,10997,16770231
485,95820486,40,51,11.0,36433,3610,2849971
486,62050341,47,164,79.0,36433,11745,18919765
487,15343773,50,106,76.0,36433,9901,16462697
488,19049747,47,94,34.0,36433,14844,33289401
489,167010482,37,45,14.000000000000002,36433,7281,12049917
490,60101131,41,59,52.0,36433,9540,15534363
491,299715714,45,72,11.0,36433,7359,7203675
492,7079062,54,237,127.0,36433,9833,16868924
493,88501703,57,120,37.0,36433,19192,40081368
494,18069427,70,336,124.0,36433,30501,47042468
495,405323682,40,60,37.0,36433,2667,5249994
496,404376053,40,51,39.0,36433,668,1429318
497,193059216,40,44,24.0,36433,1926,2611122
498,20747847,62,293,181.0,36433,11698,36385601
499,7377812,70,545,164.0,36433,57326,72528294
500,172959279,46,88,43.0,36433,11776,19005884
501,15439395,57,522,1000.0,36433,22592,57452918
502,14824849,56,683,1298.0,36433,8161,9164012
503,110481357,34,45,21.0,36433,2810,4423610
504,212018296,54,198,94.0,36433,11446,18102623
505,15661871,68,440,505.0,36433,15504,24030632
506,17092862,54,170,79.0,36433,10681,9568737
507,224809136,44,65,17.0,36433,11110,25675768
508,223247584,57,126,33.0,36433,14732,28715837
509,14111650,43,57,43.0,36433,12398,28251719
510,14589257,66,302,209.0,36433,20149,35149070
511,310087940,54,165,46.0,36433,12630,16986391
512,18501326,47,90,59.0,36433,7670,11808996
513,243058696,46,91,40.0,36433,5446,5318445
514,18781900,31,31,9.0,36433,4276,3606612
515,306472866,47,130,59.0,36433,12979,18543943
516,344334227,41,61,45.0,36433,3868,3489633
517,7453822,43,58,60.0,36433,6764,18762740
518,357268791,40,48,15.0,36433,5032,5976573
519,8207762,47,67,35.0,36433,10283,17690594
520,308324295,46,82,47.0,36433,5433,10159662
521,16894839,50,187,102.0,36433,12862,24752307
522,280725732,46,75,19.0,36433,14006,30949834
523,26841335,47,144,52.0,36433,8195,12095492
524,16218063,25,26,11.0,36433,2724,7486211
525,467658266,47,64,26.0,36433,6599,12365368
526,8715652,7,7,6.0,36433,992,2551989
527,116511302,40,55,17.0,36433,4242,6011395
528,33087222,45,72,20.0,36433,5338,5181042
529,40791597,4,4,6.0,36433,71,125551
530,17158189,20,23,18.0,36433,7773,12501195
531,18445879,57,82,51.0,36433,18724,28697752
532,19415126,40,44,15.0,36433,4351,4314757
533,25495625,32,40,14.000000000000002,36433,4655,6402656
534,4893411,50,170,119.0,36433,23391,27939385
535,7081402,55,407,281.0,36433,38342,56757732
536,143244854,46,87,75.0,36433,10541,10219398
537,23691649,54,134,92.0,36433,3822,10847451
538,337131276,40,48,28.000000000000004,36433,3583,6708146
539,127569781,47,126,29.0,36433,17520,33683780
540,20661527,69,435,187.0,36433,30418,67159982
541,14464369,54,312,418.0,36433,1256,914423
542,14424667,69,353,119.0,36433,43822,70025299
543,15643370,50,164,87.0,36433,13350,31135512
544,22643137,40,56,87.0,36433,6017,7369834
545,46241448,35,46,44.0,36433,8247,15345107
546,22857385,40,60,22.0,36433,8880,17823105
547,16150457,41,54,52.0,36433,5094,13518522
548,15913,70,1110,903.0,36433,3400,7012877
549,28521141,56,228,306.0,36433,15230,25857946
550,18602163,15,17,10.0,36433,4561,12189976
551,43662236,47,154,57.99999999999999,36433,14182,22643981
552,40340464,46,95,28.000000000000004,36433,9853,10512185
553,351671009,47,125,47.0,36433,7948,10922338
554,10350,70,906,913.0,36433,55614,80199365
555,24591819,38,50,13.0,36433,8762,16329976
556,59877557,46,80,16.0,36433,8854,9255867
557,179278975,50,119,72.0,36433,10179,20153084
558,15029953,52,326,181.0,36433,21650,28321808
559,114563370,47,91,10.0,36433,14918,23493841
560,15575251,69,335,227.0,36433,22485,36213611
561,123678437,37,42,21.0,36433,7576,16661778
562,18849313,69,239,116.0,36433,23906,43668162
563,16908436,46,80,94.0,36433,10192,15924278
564,18488495,15,16,7.000000000000001,36433,5547,6590178
565,18125335,37,56,52.0,36433,8786,18235635
566,9199472,38,64,61.0,36433,7264,21536848
567,14311802,41,49,11.0,36433,10244,18580596
568,756379,54,117,56.00000000000001,36433,22693,41623895
569,14412605,26,29,20.0,36433,1704,8243396
570,520027894,15,15,12.0,1,0,0
571,15665127,47,79,37.0,36433,6305,12578801
572,1183041,69,1084,1254.0,36433,25558,36389902
573,15758036,40,50,13.0,36433,9155,19273168
574,19521118,20,23,16.0,36433,1991,3375200
575,18444530,24,34,22.0,36433,4995,6535214
576,87759396,47,67,37.0,36433,6071,10917748
577,28202547,47,135,94.0,36433,7655,21250229
578,14165096,44,58,24.0,36433,8476,20970986
579,1065921,70,651,199.0,36433,61460,77813761
580,20273398,70,834,289.0,36433,79327,102811149
581,16626187,62,205,103.0,36433,14890,24978990
582,19489341,19,31,25.0,36433,1820,6950599
583,6572452,15,15,17.0,36433,2258,9227143
584,43219574,25,27,23.0,1,0,0
