,node,ks,kdeg,pr,m
69,97792782,104,138,29.0,1242
70,21181059,104,260,59.0,1549
71,72482827,104,259,56.99999999999999,2475
72,14058735,104,181,41.0,1233
73,27479039,104,231,95.0,3990
74,30981586,104,196,49.0,1504
75,109635031,104,312,63.0,2860
76,15062727,104,242,78.0,3243
77,27291591,104,194,44.0,1497
78,130431562,104,215,50.0,1522
79,146918923,104,158,31.0,1269
80,231205842,104,125,23.0,1265
81,21796819,104,212,55.00000000000001,2091
82,15874998,104,239,50.0,3898
83,15640349,104,199,53.0,1707
84,68668098,104,294,73.0,1892
85,199726254,104,269,61.0,1507
86,63617454,104,180,43.0,1349
87,52695031,104,138,28.000000000000004,1430
88,171823143,104,176,41.0,1058
89,228605446,104,285,72.0,1148
90,29310709,104,214,49.0,1419
91,15440806,104,206,53.0,1519
92,18395950,104,136,32.0,1509
93,167113443,104,176,37.0,1358
94,25019166,104,133,33.0,1265
95,156686588,104,176,38.0,1220
96,20630542,104,232,55.00000000000001,1940
97,30484440,104,143,33.0,1514
98,14870178,104,273,64.0,1724
99,19565333,104,150,36.0,1818
100,14282153,104,134,31.0,1022
101,16246996,104,180,46.0,1482
102,17280792,104,223,56.00000000000001,2341
103,111749042,104,148,31.0,1931
104,31455711,104,139,32.0,1217
105,87563810,104,133,40.0,1414
106,94325602,104,364,86.0,1973
107,36795587,104,137,30.0,973
108,176176880,104,124,17.0,1344
109,16040961,104,236,54.0,1464
110,172614736,104,146,28.000000000000004,1508
111,137775682,104,195,33.0,1271
112,23173615,104,157,33.0,1381
113,29823956,104,170,36.0,1016
114,28161405,104,309,101.0,2491
115,38712496,104,291,66.0,1838
116,35097545,104,190,59.0,3572
117,22300824,104,129,33.0,1329
118,111510305,104,169,40.0,1523
119,66056460,104,173,38.0,998
120,202018174,104,258,53.0,1908
121,49682544,104,141,30.0,941
122,115943336,104,180,38.0,1320
123,101567635,104,334,86.0,2005
124,11757522,102,120,30.0,1486
125,87478141,102,120,27.0,1268
126,27910685,102,121,34.0,1221
127,218617509,102,118,22.0,1285
128,110000195,102,133,40.0,1433
129,28739919,102,122,27.0,1155
130,15381952,101,105,31.0,1485
131,104060098,101,114,27.0,1168
132,46960191,101,197,44.0,1612
133,8892822,101,187,68.0,2450
134,42977712,101,295,219.0,5695
135,26479142,101,126,26.0,1014
136,88323281,99,838,174.0,3940
137,34428380,99,1381,751.0,4694
138,124528830,99,326,67.0,3346
139,307458983,99,411,91.0,5192
140,160237722,99,177,47.0,5087
141,220368467,99,214,30.0,5298
142,206923844,99,295,95.0,5448
143,103598216,99,292,87.0,5748
144,451250774,99,234,32.0,5371
145,31331740,99,685,503.0,3501
146,430313102,99,156,61.0,4951
147,196327549,99,165,50.0,4821
148,225444667,99,128,56.99999999999999,3027
149,274153775,99,431,86.0,5893
150,72818790,99,201,68.0,3413
151,40981798,99,1766,1545.0,4432
152,8088112,99,384,309.0,3465
153,88097807,99,442,51.0,3345
154,276308596,99,248,45.0,6160
155,358775055,99,403,51.0,5392
156,204140367,99,334,102.0,3327
157,172883064,99,475,79.0,6315
158,67864340,99,166,51.0,5124
159,204317520,99,476,103.0,6008
160,254839786,99,372,101.0,3545
161,18996905,99,668,420.0,4204
162,17868918,99,625,407.0,3373
163,151338729,99,393,135.0,3455
164,222261763,99,322,56.99999999999999,7089
165,430268163,99,262,62.0,5588
166,297801196,99,179,42.0,3153
167,270449528,99,553,134.0,5725
168,314316607,99,382,125.0,5736
169,299293996,99,197,21.0,3429
170,165436952,99,366,76.0,3541
171,111330891,99,131,17.0,3310
172,304462046,99,305,70.0,5209
173,194403468,99,279,38.0,4479
174,90850337,99,256,44.0,6818
175,217796457,99,256,65.0,5078
176,198327282,99,280,56.99999999999999,3085
177,317076339,99,345,103.0,5297
178,181162395,99,301,52.0,3014
179,225160584,99,188,32.0,4153
180,262182509,99,254,31.0,4101
181,253160190,99,197,41.0,3145
182,230601773,99,334,71.0,2806
183,302282272,99,285,30.0,4359
184,199010047,99,230,33.0,3505
185,253246183,99,232,31.0,3912
186,233598791,99,181,37.0,2782
187,430182387,99,187,56.99999999999999,5412
188,235978600,99,146,28.000000000000004,3112
189,356190582,99,151,29.0,9136
190,480083825,99,142,19.0,3267
191,159944448,99,217,47.0,3251
192,131029775,99,374,63.0,5194
193,151269051,99,198,19.0,5087
194,17116707,99,194,67.0,3212
195,189875309,99,299,59.0,2993
196,149538028,99,420,101.0,3484
197,158419434,99,458,107.0,7456
198,153226312,99,470,92.0,4796
199,236184723,99,193,21.0,3456
200,117674417,99,488,271.0,4208
201,26929220,99,454,97.0,6102
202,56860418,99,337,97.0,5276
203,43003845,99,1527,958.0,4455
204,259842341,99,400,106.0,7424
205,258140947,99,331,49.0,7219
206,200559228,99,194,53.0,6462
207,213777144,99,229,36.0,5898
208,22462180,99,1391,795.0,4340
209,19358562,99,459,156.0,5695
210,276706356,99,583,125.0,5266
211,116036694,99,604,180.0,10173
212,46209291,99,392,87.0,5886
213,2367911,99,474,317.0,16113
214,100581193,99,297,36.0,5204
215,203338499,99,333,35.0,5828
216,121533789,99,304,128.0,1215
217,229425177,99,137,29.0,4939
218,157829215,99,364,86.0,5802
219,288485704,99,223,27.0,5218
220,238201669,99,352,60.0,2931
221,133055665,99,431,289.0,2534
222,163238842,99,232,39.0,3291
223,214328887,99,276,44.0,3734
224,86221475,99,201,56.99999999999999,4979
225,197504076,99,562,62.0,4566
226,112939321,99,633,90.0,4228
227,440963134,99,597,76.0,7636
228,57490887,99,185,21.0,3316
229,117901353,99,217,30.0,4671
230,83943787,99,774,181.0,6020
231,283306479,99,264,35.0,3175
232,279787626,99,373,32.0,5334
233,113058991,99,337,46.0,5967
234,69592091,99,394,136.0,5389
235,187773078,99,445,137.0,3847
236,406628822,99,229,35.0,3503
237,280935165,99,444,102.0,3446
238,27633075,99,632,317.0,2688
239,228467950,99,178,15.0,4903
240,131613362,99,220,75.0,3268
241,394263193,99,371,56.99999999999999,5353
242,70492333,99,310,73.0,6981
243,380580781,99,260,85.0,5099
244,276577539,99,217,42.0,3114
245,155661154,99,230,33.0,4421
246,248883350,99,223,44.0,5170
247,19493072,99,396,125.0,9732
248,463952369,99,285,28.000000000000004,6010
249,257236842,99,153,37.0,5181
250,116498875,99,308,65.0,3142
251,262340283,99,414,93.0,3497
252,439788025,99,336,67.0,5392
253,134940306,99,377,54.0,3855
254,123371682,99,343,106.0,5157
255,195475105,99,562,157.0,7455
256,125120339,99,293,39.0,5348
257,83417972,99,304,41.0,3810
258,461410856,99,450,98.0,5577
259,148745060,99,287,60.0,3272
260,107830991,99,234,68.0,5187
261,189414421,99,187,37.0,3188
262,226570779,99,162,23.0,4513
263,216088014,99,212,54.0,5122
264,280365428,99,236,32.0,3447
265,221582075,99,208,22.0,4206
266,126950931,99,163,15.0,3514
267,523927310,99,143,18.0,5059
268,248224845,99,258,49.0,3458
269,190833564,99,192,24.0,5967
270,292632231,99,201,28.000000000000004,5782
271,163622256,99,190,18.0,3477
272,191924526,99,272,70.0,2688
273,278652553,99,152,22.0,5973
274,215785630,99,442,85.0,3683
275,114832528,99,216,16.0,4632
276,221752062,99,213,17.0,3278
277,151924135,99,221,20.0,4272
278,450839965,99,174,30.0,5700
279,302847930,99,238,92.0,3214
280,134548250,99,254,38.0,3466
281,100318079,99,547,164.0,5341
282,127713437,99,225,20.0,3007
283,88782469,99,254,28.000000000000004,3712
284,187695865,99,151,26.0,3843
285,271224667,99,222,30.0,3393
286,349994706,99,226,48.0,3353
287,230880104,99,186,55.00000000000001,5390
288,127249741,99,127,19.0,3020
289,212340401,99,264,31.0,3037
290,221123246,99,144,23.0,2885
291,188186842,99,199,34.0,5075
292,361142565,99,220,68.0,3252
293,233220322,99,219,20.0,4259
294,175553601,99,182,41.0,4257
295,310741786,99,244,44.0,5070
296,190017453,99,146,21.0,2876
297,186909156,99,146,21.0,5960
298,271901957,99,157,15.0,2986
299,333138240,99,261,19.0,6084
300,160779918,99,110,9.0,3384
301,170702519,99,141,14.000000000000002,3228
302,254777701,99,129,12.0,2873
303,235973086,99,163,18.0,3273
304,151495845,99,127,45.0,3232
305,257536805,99,137,19.0,3439
306,205017448,99,128,16.0,3252
307,208132323,99,686,84.0,8330
308,234082615,99,173,17.0,3194
309,19225542,99,219,57.99999999999999,4338
310,233966585,99,187,21.0,3332
311,265498278,99,264,23.0,6007
312,211933541,99,163,25.0,3355
313,156082710,99,129,16.0,5153
314,216843160,99,223,37.0,3275
315,207198670,99,303,27.0,4494
316,230006126,99,223,26.0,4432
317,255022485,99,277,20.0,3596
318,92319025,99,336,36.0,6094
319,354375115,99,167,32.0,4966
320,299279865,99,164,24.0,2831
321,197881393,99,189,40.0,3212
322,321696489,99,277,34.0,5505
323,173732041,99,461,90.0,5212
324,159995010,99,140,12.0,3049
325,160565602,99,308,22.0,5665
326,97251730,99,193,32.0,3356
327,181701688,99,323,55.00000000000001,3654
328,263838766,99,510,242.0,2325
329,164880154,99,457,74.0,3257
330,85716069,99,243,47.0,3082
331,83250127,99,264,29.0,3918
332,188108667,99,491,52.0,6465
333,188614087,99,214,19.0,4323
334,223990701,99,311,40.0,3302
335,99712896,99,198,19.0,3294
336,225784456,99,480,77.0,4810
337,189898898,99,444,100.0,3782
338,200214366,99,255,44.0,3262
339,131537442,99,345,35.0,5277
340,168224294,99,268,66.0,3735
341,155951259,99,301,41.0,6147
342,223545537,99,162,24.0,3147
343,230891041,99,208,30.0,3385
344,184097849,99,596,53.0,7920
345,101204352,99,522,85.0,3668
346,189251629,99,148,20.0,3196
347,92336981,99,154,45.0,3158
348,168220987,99,159,19.0,3268
349,262764726,99,259,40.0,3267
350,144631425,99,267,68.0,3284
351,196680777,99,412,106.0,6155
352,229039814,99,391,114.0,3391
353,208549187,99,312,40.0,5413
354,168152689,99,176,53.0,3195
355,28465635,99,576,165.0,5380
356,217856118,99,331,50.0,2918
357,127016368,99,276,27.0,3899
358,150070308,99,366,29.0,5947
359,118871841,99,217,20.0,4228
360,150273565,99,282,25.0,4312
361,192692732,99,134,16.0,2759
362,134301914,99,230,36.0,3427
363,165598423,99,208,34.0,3429
364,158804228,99,275,17.0,5107
365,175103395,99,203,16.0,3788
366,166811519,99,240,33.0,4457
367,281674948,99,143,22.0,2872
368,376946114,99,238,61.0,5062
369,281238535,99,189,36.0,3235
370,175431001,99,363,33.0,6218
371,214968599,99,399,62.0,5444
372,221405974,99,281,38.0,3391
373,272124345,99,201,32.0,3026
374,220729949,99,361,57.99999999999999,4730
375,223702895,99,334,61.0,2833
376,221829166,99,662,70.0,5081
377,238260874,99,537,291.0,869
378,227454804,99,153,27.0,2794
379,364917755,99,390,43.0,6704
380,202195505,99,156,22.0,6008
381,160267464,99,378,43.0,6251
382,212293329,99,193,27.0,3446
383,204446054,99,324,41.0,3492
384,166358938,99,208,27.0,3518
385,145845459,98,155,47.0,2888
386,37699718,98,201,142.0,3178
387,396193154,98,122,30.0,3157
388,127774725,98,161,17.0,4134
389,60491491,98,175,38.0,1896
390,395559648,97,104,20.0,5032
391,145129229,97,171,43.0,3132
392,327102622,97,150,27.0,3255
393,328590469,97,121,23.0,5093
394,228198725,97,118,15.0,3410
395,400689940,97,136,18.0,3467
396,66842957,96,106,25.0,1760
397,494852324,95,167,21.0,3275
398,17759158,95,175,253.0,5132
399,82524253,94,102,23.0,1525
400,156279258,94,139,30.0,4971
401,274752373,94,131,17.0,2821
402,442400135,94,108,31.0,5225
403,81746894,94,103,22.0,945
404,123340781,94,95,22.0,1867
405,168216747,94,162,24.0,2799
406,401313910,94,110,15.0,3165
407,359811125,94,129,29.0,3104
408,194828362,94,111,21.0,937
409,14747507,94,177,40.0,1820
410,235780320,94,141,20.0,2811
411,389742937,94,116,14.000000000000002,3136
412,336141383,93,252,42.0,3074
413,386204281,93,174,30.0,3294
414,143169862,93,200,29.0,4189
415,182455769,93,175,16.0,5751
416,54432775,93,130,27.0,3127
417,204115190,93,135,21.0,6200
418,308723182,93,133,15.0,6768
419,110760237,93,158,20.0,3303
420,388411903,93,121,19.0,3132
421,16956008,92,173,32.0,6367
422,17001524,92,179,29.0,6367
423,17023344,92,179,34.0,6367
424,16953844,92,175,30.0,6367
425,17025323,92,184,57.99999999999999,5456
426,19662630,92,180,39.0,6367
427,25303115,92,108,25.0,941
428,19787000,92,181,31.0,6367
429,16929470,92,178,34.0,6367
430,17026297,92,184,36.0,6367
431,815994,92,181,46.0,6367
432,1769551,92,181,41.0,6367
433,27916985,92,176,50.0,6367
434,66452682,92,167,33.0,5932
435,16929559,92,176,31.0,6367
436,16929520,92,191,41.0,6367
437,17001043,92,169,35.0,6367
438,56810507,92,133,32.0,1592
439,70736745,92,158,32.0,5761
440,807095,92,667,725.0,6418
441,399769234,92,296,57.99999999999999,2760
442,16956330,92,175,32.0,6367
443,17002185,92,221,80.0,6449
444,16929216,92,184,34.0,6367
445,21764343,92,213,52.0,6367
446,87557311,92,169,19.0,3293
447,15222806,92,183,84.0,5495
448,1766701,92,181,34.0,6367
449,17006157,92,300,239.0,5998
450,14434063,92,222,108.0,6635
451,28631509,92,168,33.0,5540
452,59157393,92,155,42.0,4360
453,2017511,92,175,32.0,6329
454,16955870,92,173,37.0,5507
455,17000625,92,178,28.000000000000004,6367
456,45869573,92,167,30.0,6367
457,19731643,92,193,56.00000000000001,5999
458,1880781,92,181,38.0,6367
459,17026041,92,179,32.0,6367
460,226629405,92,289,55.00000000000001,5195
461,383830013,92,286,34.0,3425
462,16954517,92,162,30.0,5456
463,70747051,92,156,26.0,5761
464,17003204,92,181,31.0,6367
465,16809670,92,171,62.0,5502
466,16956087,92,174,30.0,6367
467,69306507,92,177,32.0,6355
468,1879831,92,309,110.0,6367
469,59145948,92,164,44.0,5465
470,73223196,92,177,28.000000000000004,6367
471,17023277,92,178,29.0,6367
472,14603515,92,175,80.0,5642
473,17004139,92,182,49.0,5553
474,17026981,92,181,40.0,6367
475,57046177,92,146,30.0,1734
476,16929349,92,284,94.0,6401
477,16929282,92,174,29.0,6367
478,459633467,91,334,38.0,3408
479,220772414,91,103,14.000000000000002,3200
480,236143101,91,213,28.000000000000004,4110
481,221010883,91,249,42.0,3847
482,216481145,91,137,17.0,3958
483,241976365,91,123,12.0,3251
484,121570037,91,165,18.0,3667
485,139872488,91,168,19.0,4806
486,174639962,91,203,33.0,2815
487,269304313,91,132,14.000000000000002,6004
488,271668270,91,113,21.0,2695
489,86169620,91,149,17.0,5794
490,153538346,91,159,17.0,3338
491,288448212,91,120,13.0,3013
492,292598082,91,111,25.0,5034
493,96446770,91,172,22.0,5293
494,214117797,91,129,17.0,5093
495,247823881,91,132,15.0,2804
496,126391227,91,159,27.0,3116
497,295279856,90,113,19.0,5044
498,166330225,90,100,22.0,823
499,447688115,90,115,17.0,5038
500,231600824,90,115,16.0,2745
501,19479558,90,104,13.0,1196
502,496438192,90,109,13.0,4431
503,19638752,90,93,23.0,901
504,137156454,89,191,25.0,4763
505,17675120,89,198,49.0,2817
506,50360181,89,153,40.0,5838
507,232818548,89,141,13.0,4491
508,228270980,89,114,47.0,3214
509,239144776,89,123,16.0,5118
510,223244654,88,160,15.0,6441
511,166214735,88,137,22.0,3421
512,107701687,88,141,18.0,2866
513,147665130,88,149,20.0,3300
514,248108296,88,144,18.0,3849
515,39299806,88,92,17.0,1475
516,116524089,88,97,28.000000000000004,1247
517,331901352,88,148,12.0,3110
518,444929150,88,134,10.0,5615
519,131532346,88,140,18.0,4547
520,222868205,88,208,22.0,2946
521,540912889,87,116,25.0,5332
522,236627583,87,254,29.0,5213
523,224160357,87,110,35.0,3066
524,315126921,87,100,20.0,3122
525,364566412,87,93,10.0,3130
526,201003211,87,97,11.0,3479
527,235686783,87,119,17.0,2992
528,6581292,87,155,75.0,9085
529,205979455,87,107,16.0,4093
530,522013186,87,110,30.0,5029
531,493102437,87,99,12.0,4994
532,167112946,87,155,24.0,2809
533,228974199,87,133,16.0,3237
534,289604484,87,190,29.0,2626
535,134569487,86,141,13.0,3321
536,155266313,86,119,13.0,4389
537,66235505,85,138,19.0,3871
538,136046012,85,180,27.0,3434
539,155370367,85,137,10.0,3463
540,21997211,85,93,19.0,1224
541,415019902,85,95,10.0,3028
542,29915735,85,92,17.0,1274
543,193895735,85,118,14.000000000000002,3339
544,130736391,85,123,11.0,3144
545,89739704,85,119,12.0,3090
546,33363316,85,89,20.0,838
547,132709317,85,126,15.0,3097
548,53496283,84,140,9.0,3843
549,130536405,84,148,25.0,3075
550,14993489,84,91,20.0,1122
551,235221017,84,99,15.0,2862
552,40076725,84,142,56.00000000000001,6664
553,27123985,84,149,33.0,1527
554,259476534,84,92,12.0,2783
555,431863591,84,257,28.000000000000004,3181
556,221036078,84,98,20.0,3058
557,479854996,84,133,19.0,5081
558,105940693,84,91,10.0,3216
559,74860418,84,128,9.0,3425
560,14946999,84,205,159.0,1330
561,269905614,84,109,12.0,3230
562,146967448,84,97,21.0,3028
563,29898839,84,113,55.00000000000001,2803
564,88799128,84,145,20.0,3442
565,17919972,84,352,645.0,7943
566,165131834,84,110,10.0,2990
567,285312927,84,91,22.0,3199
568,344726267,84,92,10.0,3294
569,108298982,84,118,15.0,3147
570,54228724,84,232,153.0,2758
571,191997676,84,103,14.000000000000002,2854
572,267755780,84,95,13.0,2846
573,172443265,84,117,10.0,3662
574,43775164,84,128,26.0,3137
575,209735408,84,87,12.0,2897
576,134547857,84,123,20.0,4210
577,231238695,84,96,19.0,4981
578,88147704,83,87,21.0,2937
579,18951737,83,156,80.0,4544
580,175495158,82,255,25.0,4894
581,14434070,82,126,61.0,5952
582,16686144,82,91,60.0,3159
583,18322105,82,92,25.0,958
584,22411875,82,248,128.0,6450
585,17004618,82,154,145.0,5807
586,20772763,82,109,82.0,5381
587,24773177,82,234,207.0,5934
588,11178672,82,340,141.0,13385
589,43837009,82,86,19.0,3842
590,15174477,82,138,116.0,6103
591,14940354,82,114,89.0,6066
592,10454572,82,354,176.0,15858
593,115221382,82,98,18.0,3229
594,14515799,82,357,300.0,12715
595,139095342,82,147,21.0,5312
596,14476328,82,121,83.0,6146
597,1774391,82,244,112.0,5850
598,19086456,82,147,73.0,6348
599,16334480,82,114,48.0,4941
600,4282171,82,210,102.0,7170
601,16955436,82,124,66.0,4584
602,626103,82,98,65.0,4570
603,1198481,82,129,91.0,4417
604,15829144,82,158,73.0,6341
605,260769396,82,150,19.0,3289
606,17222674,82,85,24.0,1062
607,1976841,82,196,94.0,13800
608,2020351,82,115,79.0,5901
609,14434011,82,156,73.0,5582
610,12685742,82,111,70.0,4597
611,17023178,82,97,31.0,1314
612,10032112,82,181,103.0,14496
613,251757878,81,89,12.0,3245
614,277416020,81,91,13.0,5164
615,453335289,81,114,15.0,4143
616,19705747,81,160,79.0,2595
617,306434345,81,88,11.0,3149
618,387325472,81,138,28.000000000000004,5046
619,232561503,81,140,29.0,2960
620,411701525,80,88,13.0,5015
621,98426460,80,102,17.0,2942
622,57405237,80,84,12.0,1953
623,77618627,80,91,14.000000000000002,3133
624,529007327,80,123,22.0,3257
625,119144784,80,103,20.0,3311
626,206004138,80,101,34.0,3058
627,265077741,80,91,17.0,3158
628,252770012,80,84,18.0,4789
629,149657313,79,105,10.0,2971
630,1536811,79,102,81.0,4653
631,20095865,79,90,66.0,3082
632,16929396,79,98,33.0,4388
633,339985764,79,88,17.0,3098
634,262802533,79,82,19.0,3132
635,131294912,79,171,31.0,3399
636,1754641,79,117,66.0,5241
637,1877831,79,90,44.0,2942
638,16439603,79,99,24.0,5277
639,1767741,79,90,33.0,4123
640,264545327,79,117,18.0,3578
641,232348338,78,90,40.0,3822
642,221005623,78,90,16.0,2746
643,149680765,78,89,11.0,2855
644,315865471,78,192,28.000000000000004,3008
645,21447363,78,345,579.0,2995
646,21145241,78,88,55.00000000000001,3795
647,42243120,78,138,27.0,3092
648,196429355,78,143,29.0,3100
649,404900280,78,134,18.0,3114
650,9641832,78,204,104.0,9976
651,173314992,78,85,13.0,3188
652,189691043,78,117,23.0,3994
653,15827269,78,216,165.0,9238
654,134627129,78,118,26.0,2955
655,10755542,78,112,70.0,11811
656,170029206,78,94,15.0,2735
657,228837973,78,258,50.0,3259
658,114873228,78,132,26.0,4727
659,76494006,78,104,17.0,3218
660,120635492,78,78,19.0,950
661,90057908,78,163,39.0,4657
662,95260836,78,134,66.0,2656
663,267897389,78,145,26.0,3395
664,325084625,78,184,17.0,5146
665,335538156,77,127,20.0,3684
666,259445045,77,96,12.0,3983
667,135218281,77,136,20.0,5062
668,233248636,77,89,16.0,2918
669,74107696,77,82,9.0,3199
670,17849353,77,119,21.0,3116
671,325059261,77,119,15.0,4502
672,135621595,77,93,8.0,3226
673,1440641,77,113,105.0,2828
674,233385634,77,100,21.0,2986
675,19113374,77,81,49.0,4342
676,16317238,77,99,72.0,3542
677,16955517,77,80,38.0,4202
678,357866811,77,171,36.0,2637
679,20778387,76,290,253.0,2052
680,541586843,76,160,16.0,3179
681,1434251,76,173,120.0,3259
682,14575107,76,270,203.0,4737
683,88314865,76,106,14.000000000000002,4284
684,86173523,76,124,25.0,2783
685,16190278,76,252,180.0,5227
686,78453,76,298,205.0,9458
687,1775731,76,266,192.0,4003
688,114782622,76,91,17.0,3006
689,16929600,76,86,51.0,1376
690,261429036,76,86,13.0,2761
691,227755083,75,80,9.0,3279
692,165710921,75,109,23.0,2937
693,109683367,75,90,18.0,3728
694,24444592,75,154,246.0,785
695,430172427,75,114,16.0,3289
696,261753869,75,84,9.0,3207
697,401572852,75,142,24.0,3498
698,75723561,75,78,17.0,1733
699,112822449,75,87,10.0,3340
700,204054541,75,106,17.0,3124
701,58119668,75,92,23.0,3106
702,142758563,75,90,10.0,3014
703,335006084,75,154,23.0,2813
704,139192364,75,84,13.0,2814
705,145306362,75,96,21.0,3091
706,264847210,75,81,12.0,2607
707,355580935,75,200,17.0,5262
708,419004209,75,144,26.0,5073
709,307150055,74,138,26.0,2795
710,69548480,74,103,54.0,2977
711,240897073,74,116,25.0,2630
712,321029545,74,132,18.0,3458
713,346828777,74,130,21.0,2621
714,240302207,74,119,16.0,2992
715,476022252,74,111,11.0,3135
716,75873304,74,82,17.0,2971
717,301297627,74,78,18.0,2912
718,418665915,74,167,25.0,3930
719,8163442,74,162,112.0,4864
720,56511635,74,105,21.0,3056
721,164811132,74,147,21.0,2763
722,513540148,74,153,18.0,2685
723,375710523,74,121,16.0,2746
724,369283865,74,103,19.0,2976
725,364999363,74,117,21.0,2544
726,336847617,74,152,24.0,2668
727,335903825,74,111,18.0,2708
728,181401551,74,106,18.0,3162
729,4296011,74,76,15.0,1139
730,371743964,74,111,20.0,2559
731,368456347,74,115,19.0,2732
732,243851563,74,96,16.0,2596
733,229219376,74,97,17.0,3204
734,329844524,74,170,17.0,4222
735,315268102,74,143,27.0,5730
736,495380584,74,77,17.0,3063
737,307445751,74,118,18.0,4942
738,351141064,74,114,13.0,2766
739,322687731,74,161,33.0,2605
740,394229278,74,117,13.0,3723
741,298582473,74,105,12.0,3084
742,188102842,74,88,18.0,5019
743,262952447,74,121,21.0,2656
744,385587514,74,235,50.0,2562
745,16807528,74,98,29.0,5727
746,250677192,74,82,17.0,2547
747,170181894,74,114,15.0,2644
748,330560781,74,132,18.0,3164
749,123715869,74,266,53.0,3959
750,361625234,74,100,14.000000000000002,3053
751,306770757,74,222,33.0,3055
752,372393022,74,118,16.0,3721
753,395663037,74,120,13.0,2921
754,341566421,74,120,17.0,2649
755,294752666,74,101,20.0,5094
756,27077521,74,155,74.0,2606
757,206358314,74,113,15.0,4953
758,337245056,74,131,21.0,2891
759,112245929,73,79,8.0,2939
760,18149078,73,113,62.0,1923
761,66215789,73,153,29.0,2910
762,290295182,73,102,20.0,2468
763,310424126,73,86,15.0,2642
764,371309296,73,94,16.0,2480
765,193091087,73,88,10.0,2848
766,134246842,73,107,26.0,2977
767,122525263,73,98,14.000000000000002,3220
768,410381568,73,86,17.0,2444
769,149680650,73,142,30.0,4083
770,272032415,73,91,16.0,3631
771,207345348,73,92,17.0,3092
772,93436732,73,97,25.0,3081
773,14237001,73,161,103.0,3495
774,106171152,73,83,14.000000000000002,2974
775,154544941,73,98,19.0,3028
776,160053476,73,163,28.000000000000004,2961
777,111047033,73,131,17.0,3901
778,40381496,73,414,141.0,8438
779,16956234,73,77,28.000000000000004,1196
780,110146442,72,90,8.0,3563
781,286944861,72,76,10.0,2748
782,400475210,72,84,7.000000000000001,3082
783,34407494,72,129,20.0,5161
784,435877791,72,148,32.0,3171
785,14925700,72,212,338.0,765
786,115363439,72,137,14.000000000000002,4384
787,294829774,72,82,14.000000000000002,3169
788,250388198,72,140,41.0,2618
789,162123733,72,139,17.0,2889
790,93121915,72,72,17.0,716
791,86729272,72,86,19.0,2949
792,193503847,72,125,33.0,2390
793,306523182,72,97,17.0,2752
794,359364353,72,96,16.0,2585
795,27998627,72,73,8.0,1133
796,240905997,71,117,104.0,823
797,14880937,71,230,217.0,1784
798,110896395,71,206,46.0,3177
799,270507277,71,98,15.0,1403
800,125159561,71,213,73.0,3431
801,55873816,71,189,42.0,3116
802,208541451,71,218,74.0,2081
803,333464309,71,200,73.0,3129
804,20178313,71,152,33.0,2445
805,95495271,71,432,151.0,6965
806,126973864,71,80,20.0,693
807,1258391,71,77,21.0,1189
808,194939391,71,84,13.0,2536
